AARON,"[1, 2, 5, 6, 10, 11, 13, 14]"
AARONIT,"[13, 14]"
ABACO,"[13, 14]"
ABALEN,"[13, 14]"
ABBEY,[13]
ABBOTT,"[13, 14]"
ABBY,"[1, 13, 14]"
ABDALA,"[1, 10, 13, 14]"
ABDAS,"[13, 14]"
ABDECALAS,"[13, 14]"
ABDEL,"[1, 4, 13, 14]"
ABDERCIO,[13]
ABDI,"[1, 13]"
ABDIAS,"[1, 10, 11, 13, 14]"
ABDIEL,"[1, 4, 13, 14]"
ABDIESO,"[13, 14]"
ABDISON,[13]
ABDO,"[1, 4, 13, 14]"
ABDON,"[1, 5, 6, 10, 11, 13, 14]"
ABDUL,"[1, 13, 14]"
ABE,"[13, 14]"
ABEL,"[1, 2, 4, 5, 6, 10, 11, 13, 14]"
ABELARDO,"[1, 6, 10, 11, 13, 14]"
ABELINA,"[1, 4, 13, 14]"
ABENAMAR,"[13, 14]"
ABENCIO,"[13, 14]"
ABERARDA,"[13, 14]"
ABERARDO,"[13, 14]"
ABERCIO,"[13, 14]"
ABEY,"[13, 14]"
ABHAY,"[13, 14]"
ABI,"[1, 13, 14]"
ABIB,"[1, 13, 14]"
ABIBO,"[13, 14]"
ABIBON,"[13, 14]"
ABIE,"[13, 14]"
ABIEL,"[1, 4, 13, 14]"
ABIGAHIL,[13]
ABIGAIL,"[1, 2, 4, 5, 6, 10, 11, 13, 14]"
ABIJAH,"[13, 14]"
ABILIO,"[1, 11, 13, 14]"
ABISAI,"[1, 13, 14]"
ABLINA,"[13, 14]"
ABNER,"[1, 2, 4, 13, 14]"
ABRAHAM,"[1, 2, 4, 5, 6, 10, 11, 13, 14]"
ABRAHAMITAS,"[13, 14]"
ABRAHAN,"[1, 13, 14]"
ABRAM,"[1, 4, 13, 14]"
ABRAN,"[1, 13, 14]"
ABRIL,"[1, 2, 4, 5, 6, 11, 13, 14]"
ABSALOM,"[13, 14]"
ABU,"[1, 13, 14]"
ABUDEMIO,"[13, 14]"
ABUNDANCIO,"[13, 14]"
ABUNDIO,"[1, 10, 11, 13, 14]"
ACACIA,"[1, 11, 13, 14]"
ACACIO,"[1, 6, 10, 11, 13, 14]"
ACATO,"[13, 14]"
ACCAS,"[13, 14]"
ACCIO,"[13, 14]"
ACDEL,"[13, 14]"
ACE,"[13, 14]"
ACELIN,"[13, 14]"
ACEPIMAS,"[13, 14]"
ACILINO,"[13, 14]"
ACINDINO,"[1, 13, 14]"
ACISCIO,[13]
ACKERKEY,[13]
ACMENA,[13]
ACNIN,"[13, 14]"
ACSA,[13]
ACUCIO,"[13, 14]"
ACURSIO,"[13, 14]"
ADA,"[1, 2, 4, 5, 6, 10, 11, 13, 14]"
ADABEL,[13]
ADABELLA,"[13, 14]"
ADAIA,"[1, 4, 13, 14]"
ADAIR,"[1, 4, 13, 14]"
ADALA,"[1, 13, 14]"
ADALBERTO,"[1, 6, 8, 10, 11, 13, 14]"
ADALGISA,"[1, 4, 13, 14]"
ADALGUISA,"[13, 14]"
ADALIA,"[1, 4, 13, 14]"
ADALID,"[1, 13, 14]"
ADALINO,"[13, 14]"
ADALIS,"[13, 14]"
ADALOISA,[13]
ADAM,"[1, 2, 4, 5, 13, 14]"
ADAMNAN,"[13, 14]"
ADAMO,"[1, 13, 14]"
ADAN,"[1, 2, 6, 10, 11, 13, 14]"
ADARA,"[1, 2, 13, 14]"
ADAUCO,"[13, 14]"
ADAUCTO,"[13, 14]"
ADBEEL,"[13, 14]"
ADE,"[13, 14]"
ADEL,"[1, 4, 13, 14]"
ADELA,"[1, 2, 4, 5, 6, 10, 11, 13, 14]"
ADELAIDA,"[1, 4, 5, 6, 10, 11, 13, 14]"
ADELARDO,"[1, 6, 11, 13, 14]"
ADELBERTO,"[13, 14]"
ADELEN,"[13, 14]"
ADELEY,[13]
ADELFA,"[1, 13, 14]"
ADELFO,"[13, 6, 14]"
ADELGIRO,"[13, 14]"
ADELIA,"[1, 13, 14]"
ADELICIA,"[13, 14]"
ADELINA,"[1, 2, 4, 5, 6, 11, 13, 14]"
ADELINO,"[1, 13, 6, 14]"
ADELIO,"[1, 13, 14]"
ADELMA,"[1, 13, 14]"
ADELMAR,"[5, 13, 14]"
ADELMO,"[1, 13, 14]"
ADELQUI,"[13, 14]"
ADELTRUDE,[13]
ADEM,"[1, 13, 14]"
ADEMAR,"[1, 11, 13, 14]"
ADEMARO,"[13, 14]"
ADERES,"[13, 14]"
ADERITO,"[1, 13, 14]"
ADHERMAR,[13]
ADHUE,[13]
ADIADNA,[13]
ADIANEY,[13]
ADIB,"[1, 13, 14]"
ADIEL,"[1, 13, 14]"
ADIL,"[1, 2, 13, 14]"
ADILSON,"[1, 13, 14]"
ADISON,[13]
ADITARDO,"[13, 14]"
ADLAI,"[13, 14]"
ADLEY,"[13, 14]"
ADMON,"[13, 14]"
ADO,"[13, 14]"
ADOLFINA,"[1, 11, 13, 14]"
ADOLFO,"[1, 2, 6, 10, 11, 13, 14]"
ADOLPH,"[13, 14]"
ADON,"[13, 14]"
ADONAI,"[1, 13, 14]"
ADONAY,"[1, 2, 13, 14]"
ADONIS,"[1, 5, 6, 11, 13, 14]"
ADORACION,"[1, 6, 10, 11, 13, 14]"
ADORAR,"[13, 14]"
ADRA,"[13, 14]"
ADREW,"[13, 14]"
ADRIA,"[1, 2, 4, 5, 7, 10, 13, 14]"
ADRIADNA,"[4, 13, 14]"
ADRIAN,"[1, 2, 6, 8, 10, 13, 14]"
ADRIANA,"[1, 2, 5, 6, 10, 13, 14]"
ADRIANO,"[1, 2, 13, 14]"
ADRIEL,"[1, 2, 10, 13, 14]"
ADRIO,"[5, 13, 14]"
ADRION,"[13, 6, 14]"
ADULFO,"[13, 14]"
ADVENTOR,"[13, 14]"
ADYUTO,"[13, 14]"
ADYUTOR,"[13, 14]"
AENEAS,"[13, 14]"
AERON,[13]
AFIA,"[1, 13, 14]"
AFIF,"[1, 13, 14]"
AFIFE,"[13, 14]"
AFMATUFAL,[13]
AFMATUN,[13]
AFRA,"[1, 2, 4, 13, 14]"
